Rsensor,Time
17.34,00:08:36.935517
17.34,00:08:37.021526
17.34,00:08:37.111540
17.34,00:08:37.189550
17.34,00:08:37.283577
17.34,00:08:37.378118
17.24,00:08:37.468336
17.24,00:08:37.558178
17.24,00:08:37.636187
17.24,00:08:37.730053
17.24,00:08:37.808063
17.24,00:08:37.885565
17.24,00:08:37.963651
17.24,00:08:38.041241
17.24,00:08:38.131671
17.24,00:08:38.221684
17.24,00:08:38.299286
17.24,00:08:38.377283
17.24,00:08:38.459200
17.34,00:08:38.537158
17.34,00:08:38.627314
17.34,00:08:38.717327
17.34,00:08:38.795338
17.34,00:08:38.876704
17.34,00:08:38.954779
17.34,00:08:39.032789
17.34,00:08:39.113989
17.34,00:08:39.212830
17.34,00:08:39.302824
17.34,00:08:39.380834
17.34,00:08:39.462791
17.24,00:08:39.552852
17.24,00:08:39.634867
17.34,00:08:39.720892
17.34,00:08:39.798495
17.34,00:08:39.892913
17.34,00:08:39.982912
17.24,00:08:40.060922
17.34,00:08:40.154933
17.34,00:08:40.244946
17.34,00:08:40.322956
17.24,00:08:40.400546
17.34,00:08:40.478455
17.34,00:08:40.564419
17.34,00:08:40.650430
17.34,00:08:40.740444
17.34,00:08:40.818600
17.43,00:08:40.912611
17.43,00:08:41.002479
17.43,00:08:41.080634
17.43,00:08:41.174498
17.43,00:08:41.264760
17.34,00:08:41.359089
17.34,00:08:41.448875
17.34,00:08:41.543693
17.34,00:08:41.633706
17.34,00:08:41.711717
17.34,00:08:41.789080
17.34,00:08:41.883751
17.34,00:08:41.973763
17.34,00:08:42.051129
17.34,00:08:42.129190
17.34,00:08:42.223201
17.34,00:08:42.313794
17.34,00:08:42.391225
17.34,00:08:42.485672
17.34,00:08:42.579680
17.34,00:08:42.669840
17.34,00:08:42.775943
17.34,00:08:42.854285
17.34,00:08:42.931875
17.34,00:08:43.009885
17.34,00:08:43.099897
17.34,00:08:43.177758
17.34,00:08:43.255917
17.34,00:08:43.349553
17.43,00:08:43.439841
17.63,00:08:43.518091
17.73,00:08:43.611550
18.25,00:08:43.702035
32.07,00:08:43.780001
36.93,00:08:43.873729
40.67,00:08:43.963752
42.36,00:08:44.042028
44.18,00:08:44.136041
46.15,00:08:44.226462
37.63,00:08:44.304206
20.96,00:08:44.382062
19.01,00:08:44.476073
18.57,00:08:44.566103
18.46,00:08:44.644096
18.9,00:08:44.734126
28.65,00:08:44.812119
41.08,00:08:44.889760
43.71,00:08:44.979895
45.15,00:08:45.058161
39.87,00:08:45.135592
20.83,00:08:45.213160
18.68,00:08:45.307617
18.25,00:08:45.397615
18.04,00:08:45.475640
18.14,00:08:45.569646
18.25,00:08:45.598650
25.63,00:08:45.676230
43.25,00:08:45.766002
42.8,00:08:45.844399
35.6,00:08:45.922413
41.93,00:08:46.016431
39.48,00:08:46.106296
21.1,00:08:46.184296
18.57,00:08:46.274563
18.25,00:08:46.352329
17.83,00:08:46.430329
17.73,00:08:46.507794
17.63,00:08:46.586020
17.53,00:08:46.663218
17.53,00:08:46.741286
17.53,00:08:46.847803
17.53,00:08:46.925393
17.43,00:08:47.003402
17.43,00:08:47.097267
17.43,00:08:47.187847
17.43,00:08:47.265437
17.43,00:08:47.343447
17.43,00:08:47.437313
17.43,00:08:47.527891
17.43,00:08:47.605165
17.43,00:08:47.699912
17.43,00:08:47.789925
17.14,00:08:47.883628
17.05,00:08:47.969909
18.46,00:08:48.055984
19.59,00:08:48.146561
20.07,00:08:48.244646
20.2,00:08:48.334222
20.2,00:08:48.424446
20.2,00:08:48.502500
19.95,00:08:48.596608
19.95,00:08:48.687010
19.95,00:08:48.781053
19.83,00:08:48.875017
19.95,00:08:48.965570
19.95,00:08:49.047520
20.07,00:08:49.137678
20.2,00:08:49.227691
20.2,00:08:49.305702
20.2,00:08:49.399712
20.2,00:08:49.481522
19.95,00:08:49.567735
19.95,00:08:49.661746
19.95,00:08:49.751774
19.95,00:08:49.829769
19.95,00:08:49.907631
20.07,00:08:50.001791
20.07,00:08:50.091850
20.07,00:08:50.169813
20.07,00:08:50.263824
20.07,00:08:50.349836
20.2,00:08:50.427698
20.07,00:08:50.509801
20.07,00:08:50.603868
20.07,00:08:50.693735
20.07,00:08:50.771743
20.07,00:08:50.849666
20.07,00:08:50.931266
20.07,00:08:51.009318
20.07,00:08:51.095354
20.07,00:08:51.172944
20.07,00:08:51.304380
20.07,00:08:51.381995
20.07,00:08:51.459836
20.07,00:08:51.545991
20.07,00:08:51.628001
20.07,00:08:51.709867
20.07,00:08:51.787444
20.07,00:08:51.865454
20.07,00:08:51.947053
20.2,00:08:52.029054
20.07,00:08:52.118918
20.07,00:08:52.209498
20.07,00:08:52.286947
20.07,00:08:52.365098
20.07,00:08:52.458962
20.07,00:08:52.549541
20.07,00:08:52.631111
20.07,00:08:52.721563
20.07,00:08:52.811415
20.07,00:08:52.893148
20.07,00:08:52.983598
20.07,00:08:53.077544
20.07,00:08:53.168054
20.2,00:08:53.262214
20.2,00:08:53.352287
20.07,00:08:53.430088
20.07,00:08:53.507667
20.07,00:08:53.585677
